Item,WordNo,Subject_Gender,Object_Gender,Word,RT
1,17.0,match,match,met,209.33333333333334
1,17.0,match,mis,met,317.6666666666667
1,17.0,mis,match,met,665.0
1,17.0,mis,mis,met,309.6666666666667
10,18.0,match,match,nog,360.0
10,18.0,match,mis,nog,318.3333333333333
10,18.0,mis,match,nog,390.6666666666667
10,18.0,mis,mis,nog,242.0
11,18.0,match,match,nog,398.2
11,18.0,match,mis,nog,294.0
11,18.0,mis,match,nog,335.6666666666667
11,18.0,mis,mis,nog,701.5
12,17.0,match,match,niet,362.5
12,17.0,match,mis,niet,196.5
12,17.0,mis,match,niet,206.0
12,17.0,mis,mis,niet,406.8
13,19.0,match,match,erg,316.0
13,19.0,match,mis,erg,353.2
13,19.0,mis,match,erg,384.5
13,19.0,mis,mis,erg,350.0
14,16.0,match,match,een,352.0
14,16.0,match,mis,een,362.0
14,16.0,mis,match,een,415.4
14,16.0,mis,mis,een,570.0
15,18.0,match,match,telkens,329.0
15,18.0,match,mis,telkens,317.6
15,18.0,mis,match,telkens,406.0
15,18.0,mis,mis,telkens,382.0
16,17.0,match,match,veel,324.6666666666667
16,17.0,match,mis,veel,312.0
16,17.0,mis,match,veel,309.0
16,17.0,mis,mis,veel,411.3333333333333
17,17.0,match,match,vrijwel,296.6666666666667
17,17.0,match,mis,vrijwel,236.66666666666666
17,17.0,mis,match,vrijwel,368.5
17,17.0,mis,mis,vrijwel,360.6666666666667
18,18.0,match,match,telkens,284.0
18,18.0,match,mis,telkens,303.3333333333333
18,18.0,mis,match,telkens,324.0
18,18.0,mis,mis,telkens,267.3333333333333
19,15.0,match,match,al,415.4
19,15.0,match,mis,al,209.33333333333334
19,15.0,mis,match,al,347.3333333333333
19,15.0,mis,mis,al,290.0
2,16.0,match,match,helemaal,249.5
2,16.0,match,mis,helemaal,342.3333333333333
2,16.0,mis,match,helemaal,290.0
2,16.0,mis,mis,helemaal,220.0
20,19.0,match,match,zich,376.75
20,19.0,match,mis,zich,299.5
20,19.0,mis,match,zich,316.6666666666667
20,19.0,mis,mis,zich,350.2
21,17.0,match,match,heel,326.8
21,17.0,match,mis,heel,397.6
21,17.0,mis,match,heel,237.0
21,17.0,mis,mis,heel,478.5
22,16.0,match,match,niet,338.0
22,16.0,match,mis,niet,396.5
22,16.0,mis,match,niet,367.0
22,16.0,mis,mis,niet,351.2
23,17.0,match,match,zo,327.0
23,17.0,match,mis,zo,323.0
23,17.0,mis,match,zo,407.75
23,17.0,mis,mis,zo,373.0
24,17.0,match,match,in,351.0
24,17.0,match,mis,in,331.0
24,17.0,mis,match,in,309.2
24,17.0,mis,mis,in,360.0
25,18.0,match,match,tijdens,207.0
25,18.0,match,mis,tijdens,371.0
25,18.0,mis,match,tijdens,467.0
25,18.0,mis,mis,tijdens,370.3333333333333
26,17.0,match,match,de,214.5
26,17.0,match,mis,de,296.0
26,17.0,mis,match,de,335.3333333333333
26,17.0,mis,mis,de,248.66666666666666
27,18.0,match,match,nog,437.8
27,18.0,match,mis,nog,222.66666666666666
27,18.0,mis,match,nog,326.3333333333333
27,18.0,mis,mis,nog,255.0
28,17.0,match,match,zichzelf,410.75
28,17.0,match,mis,zichzelf,320.5
28,17.0,mis,match,zichzelf,248.0
28,17.0,mis,mis,zichzelf,527.6
29,17.0,match,match,hier,368.2
29,17.0,match,mis,hier,322.6
29,17.0,mis,match,hier,215.5
29,17.0,mis,mis,hier,466.5
3,17.0,match,match,druk,372.2
3,17.0,match,mis,druk,195.33333333333334
3,17.0,mis,match,druk,375.3333333333333
3,17.0,mis,mis,druk,390.0
30,16.0,match,match,door,295.5
30,16.0,match,mis,door,435.25
30,16.0,mis,match,door,372.2
30,16.0,mis,mis,door,397.4
31,17.0,match,match,zich,230.66666666666666
31,17.0,match,mis,zich,376.0
31,17.0,mis,match,zich,376.25
31,17.0,mis,mis,zich,330.5
32,17.0,match,match,niet,336.0
32,17.0,match,mis,niet,313.5
32,17.0,mis,match,niet,359.2
32,17.0,mis,mis,niet,227.0
4,18.0,match,match,heel,406.0
4,18.0,match,mis,heel,287.0
4,18.0,mis,match,heel,527.6666666666666
4,18.0,mis,mis,heel,415.4
5,16.0,match,match,plotseling,271.8
5,16.0,match,mis,plotseling,513.4
5,16.0,mis,match,plotseling,256.0
5,16.0,mis,mis,plotseling,487.0
6,16.0,match,match,niets,401.5
6,16.0,match,mis,niets,421.0
6,16.0,mis,match,niets,392.0
6,16.0,mis,mis,niets,333.0
7,16.0,match,match,pas,344.0
7,16.0,match,mis,pas,357.2
7,16.0,mis,match,pas,407.5
7,16.0,mis,mis,pas,410.5
8,16.0,match,match,al,317.6666666666667
8,16.0,match,mis,al,309.0
8,16.0,mis,match,al,323.4
8,16.0,mis,mis,al,458.0
9,16.0,match,match,heel,285.0
9,16.0,match,mis,heel,271.3333333333333
9,16.0,mis,match,heel,424.5
9,16.0,mis,mis,heel,310.3333333333333
